username,asset
lausd-00665,
lausd-00081,0138
lausd-00768,0133
lausd-00943,
lausd-00652,
lausd-00010,
lausd-00163,0134
lausd-00315,
lausd-00103,
lausd-00461,
lausd-00155,0130
lausd-00992,
lausd-00700,0132
lausd-00558,
lausd-00781,
lausd-00815,0131
lausd-00263,
lausd-00316,
lausd-00208,
lausd-00422,
lausd-00872,
lausd-00786,0122
lausd-00189,0123
lausd-00164,
lausd-00836,0124
lausd-00086,0125
lausd-00809,
lausd-00590,0126
lausd-00982,
lausd-00567,0135
lausd-00808,
lausd-00277,
lausd-00840,
lausd-00990,0127
lausd-00648,0129
lausd-00515,
lausd-00268,
lausd-00588,0128
lausd-00283,0091
lausd-00270,
lausd-00617,0106
lausd-00436,0105
lausd-00669,0092
lausd-00257,0108
lausd-00343,
lausd-00882,0093
lausd-00003,0094
lausd-00176,
lausd-00534,0096
lausd-00328,
lausd-00691,0097
lausd-00842,0098
lausd-00801,0099
lausd-00135,
lausd-00061,0100
lausd-00908,
lausd-00979,
lausd-00645,0101
lausd-00234,0096
lausd-00295,0102
lausd-00916,0104
lausd-00886,
lausd-00821
lausd-00719,
lausd-00868,0139
lausd-00770,
lausd-00741,0140
lausd-00584,
lausd-00405,0151
lausd-00423,
lausd-00698,
lausd-00415,
lausd-00675,
lausd-00743,
lausd-00560,
lausd-00460,
lausd-00169,0141
lausd-00388,
lausd-00045,0152
lausd-00216,
lausd-00785,0142
lausd-00491,
lausd-00054,
lausd-00813,0146
lausd-00494,
lausd-00145,0148
lausd-00341,
lausd-00194,
lausd-00818,
lausd-00960,0149
lausd-00611,
lausd-00634,
lausd-00303,
lausd-00356,
lausd-00746,0145
lausd-00756,
lausd-00890,0143
lausd-00266,
lausd-00636,
lausd-00972,0153
lausd-00859,0154
lausd-00562,0169
lausd-00007,0172
lausd-00261,0155
lausd-00894,
lausd-00278,
lausd-00791,0156
lausd-00394,0157
lausd-00439,
lausd-00094,0158
lausd-00666,
lausd-00214,
lausd-00156,0167
lausd-00198,0159
lausd-00160,
lausd-00846,
lausd-00197,0166
lausd-00812,0171
lausd-00708,
lausd-00744,
lausd-00681,
lausd-00310,
lausd-00202,0161
lausd-00857,0162
lausd-00739,
lausd-00950,
lausd-00629,0163
lausd-00366,
lausd-00598,0164
lausd-00833,0165
lausd-00047,0166
lausd-00506,
lausd-00286,
lausd-00152,0173
lausd-00365,
lausd-00545,
lausd-00006,
lausd-00793,0174
lausd-00008,
lausd-00685,0175
lausd-00340,
lausd-00299,0176
lausd-00537,0177
lausd-00246,
lausd-00888,
lausd-00177,0178
lausd-00404,
lausd-00958,
lausd-00375,0179
lausd-00628,0180
lausd-00822,
lausd-00946,0181
lausd-00407,0182
lausd-00827,0183
lausd-00399,
lausd-00684,
lausd-00601,0188
lausd-00919,
lausd-00210,
lausd-00296,0184
lausd-00891,
lausd-00671,
lausd-00144,0185
lausd-00085,
lausd-00274,
lausd-00406,
lausd-00143,0186
lausd-00148,0187
lausd-00981,0238
lausd-00262,0235
lausd-00279,
lausd-00904,
lausd-00219,0199
lausd-00326,0236
lausd-00395,0229
lausd-00989,0202
lausd-00026,
lausd-00761,
lausd-00572,0232
lausd-00042,0234
lausd-00839,
lausd-00293,
lausd-00018,
lausd-00795,
lausd-00175,0204
lausd-00204,
lausd-00776,0205
lausd-00162,
lausd-00265,0233
lausd-00307,0230
lausd-00345,
lausd-00804,
lausd-00019,
lausd-00689,0206
lausd-00917,0239
lausd-00550,0207
lausd-00352,0207
lausd-00267,0208
lausd-00084,0209
lausd-00409,0220
lausd-00942,0211
lausd-00500,
lausd-00730,0212
lausd-00811,0213
lausd-00559,0214
lausd-00396,0215
lausd-00759,
lausd-00383,0218
lausd-00182,
lausd-00860,
lausd-00899,0223
lausd-00139,0221
lausd-00949,
lausd-00920,
lausd-00825,
lausd-00258,0219
lausd-00338,0222
lausd-00959,0030
lausd-00151,0224
lausd-00704,0210
lausd-00838,0225
lausd-00444,0170
lausd-00118,0226
lausd-00686,0227
lausd-00995,0228
lausd-00454,
lausd-00720,
lausd-00807,
lausd-00773,
lausd-00542,
lausd-00256,
lausd-00430,0111
lausd-00508,0109
lausd-00799,0110
lausd-00544,
lausd-00420,
lausd-00311,0111
lausd-00327,
lausd-00927,0112
lausd-00431,0113
lausd-00049,
lausd-00472,0115
lausd-00996,
lausd-00083,
lausd-00597,0116
lausd-00211,
lausd-00043,
lausd-00059,
lausd-00432,
lausd-00787,0117
lausd-00362,0118
lausd-00934,
lausd-00518,
lausd-00410,
lausd-00411,0109
lausd-00777,
lausd-00630,
lausd-00452,0119
lausd-00528,
lausd-00312,0120
lausd-00911,
lausd-00471,
lausd-00718,
lausd-00116,0078
lausd-00193,
lausd-00484,0079
lausd-00810,
lausd-00448,0080
lausd-00510,0081
lausd-00654,0082
lausd-00255,
lausd-00400,0083
lausd-00241,0088
lausd-00493,
lausd-00504,
lausd-00858,0089
lausd-00009,
lausd-00063,0084
lausd-00661,0086
lausd-00146,
lausd-00957,0085
lausd-00734,0087
lausd-00783,0090
lausd-00119,


